"policy_id","cal_year","occurrence_date","usage","occasional_commercial","area","province","overnight_parking","security_device","vehicle_id","body_type","vehicle_power","fuel","transmission","engine_cc","vehicle_value","gender","age","ncd_level","gross_amount","net_amount","marital","employment","occupation","years_licensed","licensing_age","vehicle_age","reported_mileage","num_drivers","exposure","employment_missing","reported_mileage_missing","engine_cc_missing"
"P0000001",2017,2017-09-02,"Commuting",FALSE,"Suburban","Leinster","Garage",TRUE,1,"Saloon","Med","Petrol","M",1134,26291,"F",32,2,4342.62210822393,4092.62210822393,"Single","Employed","Secondary Teacher",14,18,9,7500,1,0.797260274,0,0,0
"P0000001",2017,2017-09-20,"Commuting",FALSE,"Suburban","Leinster","Garage",TRUE,1,"Saloon","Med","Petrol","M",1134,26291,"F",32,2,6204.69180549656,5954.69180549656,"Single","Employed","Secondary Teacher",14,18,9,7500,1,0.797260274,0,0,0
"P0000002",2021,2021-05-24,"Commuting",FALSE,"Suburban","Connacht","Garage",FALSE,1,"Saloon","Low","Diesel","M",600,8756,"M",37,5,4019.76485533748,3769.76485533748,"Married","Employed","Retail",20,17,13,11500,1,1,0,0,0
"P0000004",2019,2019-01-01,"Commuting",FALSE,"Urban","Munster","Street",FALSE,1,"Estate","Med","Petrol","M",604,15795,"M",28,4,20270.4247656985,20020.4247656985,"Single","Employed","Driver/Delivery",11,17,8,11500,1,1,0,0,0
"P0000005",2019,2019-08-29,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Estate","Med","Petrol","M",644,16758,"M",27,2,19008.4281694603,18758.4281694603,"Single","Employed","Retail",7,20,8,13000,1,1,0,0,0
"P0000005",2020,2020-01-09,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Estate","Med","Petrol","M",644,16758,"M",28,0,4300.85466397772,4050.85466397772,"Single","Employed","Retail",8,20,9,12500,1,1,0,0,0
"P0000005",2020,2020-08-07,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Estate","Med","Petrol","M",644,16758,"M",28,0,1702.43805739242,1452.43805739242,"Single","Employed","Retail",8,20,9,12500,1,1,0,0,0
"P0000006",2024,2024-11-26,"Commuting",FALSE,"Urban","Connacht","Street",TRUE,1,"Saloon","Low","Diesel","M",600,14678,"M",47,2,12419.0316682099,12169.0316682099,"Married","Employed","Unemployed",26,21,11,8389.69258533713,1,1,0,0,0
"P0000008",2024,2024-01-07,"Commuting",FALSE,"Suburban","Leinster","Street",FALSE,1,"Hatchback","Low","Diesel","M",600,11895,"M",53,3,3889.91640657731,3639.91640657731,"Married","Employed","Lecturer",32,21,11,10943.7799030998,1,1,0,0,0
"P0000009",2018,2018-05-16,"Private",FALSE,"Urban","Munster","Street",TRUE,1,"Hatchback","Med","Diesel","M",860,24004,"M",43,4,18172.2052174396,17922.2052174396,"Married","Unemployed","Retail",26,17,14,4000,1,1,0,0,0
"P0000009",2020,2020-07-30,"Private",FALSE,"Urban","Munster","Street",TRUE,1,"Hatchback","Med","Diesel","M",860,24004,"M",45,3,15419.5517193826,15169.5517193826,"Married","Unemployed","Retail",28,17,16,3500,1,1,0,0,0
"P0000010",2024,2024-09-30,"Commercial",FALSE,"Rural","Munster","Driveway",FALSE,1,"SUV","Med","Petrol","M",1944,43077,"F",52,3,5503.6262252412,5253.6262252412,"Married","Self-Employed","Retail",35,17,7,40000,2,1,0,0,0
"P0000012",2021,2021-12-07,"Commuting",FALSE,"Suburban","Leinster","Driveway",FALSE,1,"Hatchback","Low","Petrol","M",600,11864,"F",74,1,5428.84070243276,5178.84070243276,"Married","Employed","Secondary Teacher",56,18,7,17000,1,0.616438356,0,0,0
"P0000017",2017,2017-09-15,"Commuting",FALSE,"Suburban","Leinster","Street",FALSE,1,"Saloon","Med","Diesel","M",600,18922,"F",34,1,3039.84148195829,2789.84148195829,"Single","Employed","Retail",14,20,13,17500,2,1,0,0,0
"P0000018",2021,2021-03-10,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Hatchback","Low","EV","A",600,8894,"M",37,2,49884.2966823451,49634.2966823451,"Married","Employed","Secondary Teacher",18,19,11,11000,1,1,0,0,0
"P0000018",2021,2021-11-30,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Hatchback","Low","EV","A",600,8894,"M",37,2,14166.6465749244,13916.6465749244,"Married","Employed","Secondary Teacher",18,19,11,11000,1,1,0,0,0
"P0000019",2022,2022-07-27,"Commuting",FALSE,"Suburban","Munster","Driveway",FALSE,1,"Van","Low","Diesel","M",600,14577,"M",50,5,12856.9123652261,12606.9123652261,"Married","Employed","Driver/Delivery",31,19,12,10000,1,1,0,0,0
"P0000020",2021,2021-02-19,"Private",FALSE,"Suburban","Leinster","Driveway",FALSE,1,"Saloon","Low","Hybrid","A",600,15762,"F",35,3,18320.2168029416,18070.2168029416,"Single","Unemployed","Lecturer",15,20,10,4000,1,1,0,0,0
"P0000022",2019,2019-04-09,"Private",FALSE,"Suburban","Leinster","Garage",FALSE,1,"Saloon","Med","Hybrid","A",600,13973,"M",22,2,5845.24463807452,5595.24463807452,"Single","Student","Accountant",3,19,9,9000,1,1,0,0,0
"P0000022",2019,2019-12-29,"Private",FALSE,"Suburban","Leinster","Garage",FALSE,1,"Saloon","Med","Hybrid","A",600,13973,"M",22,2,7361.87969162744,7111.87969162744,"Single","Student","Accountant",3,19,9,9000,1,1,0,0,0
